hidden_layers,neurons,activation,epochs,learning_rate,batch_size,accuracy
1,4,relu,1,10.0,64,0.7560975609756098
1,4,relu,1,10.0,128,0.5073170731707317
1,4,relu,1,10.0,256,0.5658536585365853
1,4,relu,1,10.0,512,0.4975609756097561
1,4,relu,1,1.0,16,0.7268292682926829
1,4,relu,1,1.0,32,0.7853658536585366
1,4,relu,1,1.0,64,0.7658536585365854
1,4,relu,1,1.0,128,0.6878048780487804
1,4,relu,1,1.0,256,0.28780487804878047
1,4,relu,1,1.0,512,0.7804878048780488
1,4,relu,1,0.1,16,0.8
1,4,relu,1,0.1,32,0.7951219512195122
1,4,relu,1,0.1,64,0.751219512195122
1,4,relu,1,0.1,128,0.8048780487804879
1,4,relu,1,0.1,256,0.7951219512195122
1,4,relu,1,0.1,512,0.7365853658536585
1,4,relu,1,0.01,16,0.824390243902439
1,4,relu,1,0.01,32,0.7951219512195122
1,4,relu,1,0.01,64,0.6195121951219512
1,4,relu,1,0.01,128,0.6585365853658537
1,4,relu,1,0.01,256,0.5902439024390244
1,4,relu,1,0.01,512,0.5219512195121951
1,4,relu,1,0.001,16,0.697560975609756
1,4,relu,1,0.001,32,0.526829268292683
1,4,relu,1,0.001,64,0.6878048780487804
1,4,relu,1,0.001,128,0.6731707317073171
1,4,relu,1,0.001,256,0.5902439024390244
1,4,relu,1,0.001,512,0.6585365853658537
1,4,relu,1,0.0001,16,0.5024390243902439
1,4,relu,1,0.0001,32,0.4926829268292683
1,4,relu,1,0.0001,64,0.5024390243902439
1,4,relu,1,0.0001,128,0.43414634146341463
1,4,relu,1,0.0001,256,0.5463414634146342
1,4,relu,1,0.0001,512,0.43902439024390244
1,4,relu,10,10.0,16,0.5365853658536586
1,4,relu,10,10.0,32,0.6292682926829268
1,4,relu,10,10.0,64,0.5024390243902439
1,4,relu,10,10.0,128,0.6536585365853659
1,4,relu,10,10.0,256,0.4975609756097561
1,4,relu,10,10.0,512,0.751219512195122
1,4,relu,10,1.0,16,0.6487804878048781
1,4,relu,10,1.0,32,0.7024390243902439
1,4,relu,10,1.0,64,0.7463414634146341
1,4,relu,10,1.0,128,0.7951219512195122
1,4,relu,10,1.0,256,0.5902439024390244
1,4,relu,10,1.0,512,0.7658536585365854
1,4,relu,10,0.1,16,0.8682926829268293
1,4,relu,10,0.1,32,0.848780487804878
1,4,relu,10,0.1,64,0.8536585365853658
1,4,relu,10,0.1,128,0.8341463414634146
1,4,relu,10,0.1,256,0.8292682926829268
1,4,relu,10,0.1,512,0.8146341463414634
1,4,relu,10,0.01,16,0.8146341463414634
1,4,relu,10,0.01,32,0.8146341463414634
1,4,relu,10,0.01,64,0.8048780487804879
1,4,relu,10,0.01,128,0.8146341463414634
1,4,relu,10,0.01,256,0.7707317073170732
1,4,relu,10,0.01,512,0.7853658536585366
1,4,relu,10,0.001,16,0.7853658536585366
1,4,relu,10,0.001,32,0.7902439024390244
1,4,relu,10,0.001,64,0.7658536585365854
1,4,relu,10,0.001,128,0.751219512195122
1,4,relu,10,0.001,256,0.6097560975609756
1,4,relu,10,0.001,512,0.5024390243902439
1,4,relu,10,0.0001,16,0.4682926829268293
1,4,relu,10,0.0001,32,0.5024390243902439
1,4,relu,10,0.0001,64,0.4634146341463415
1,4,relu,10,0.0001,128,0.4585365853658537
1,4,relu,10,0.0001,256,0.5024390243902439
1,4,relu,10,0.0001,512,0.4097560975609756
1,4,relu,25,10.0,16,0.6292682926829268
1,4,relu,25,10.0,32,0.5658536585365853
1,4,relu,25,10.0,64,0.5658536585365853
1,4,relu,25,10.0,128,0.5414634146341464
1,4,relu,25,10.0,256,0.5024390243902439
1,4,relu,25,10.0,512,0.7073170731707317
1,4,relu,25,1.0,16,0.4975609756097561
1,4,relu,25,1.0,32,0.8146341463414634
1,4,relu,25,1.0,64,0.7365853658536585
1,4,relu,25,1.0,128,0.751219512195122
1,4,relu,25,1.0,256,0.6390243902439025
1,4,relu,25,1.0,512,0.8536585365853658
1,4,relu,25,0.1,16,0.8536585365853658
1,4,relu,25,0.1,32,0.8878048780487805
1,4,relu,25,0.1,64,0.8731707317073171
1,4,relu,25,0.1,128,0.8780487804878049
1,4,relu,25,0.1,256,0.8585365853658536
1,4,relu,25,0.1,512,0.8097560975609757
1,4,relu,25,0.01,16,0.8536585365853658
1,4,relu,25,0.01,32,0.848780487804878
1,4,relu,25,0.01,64,0.8585365853658536
1,4,relu,25,0.01,128,0.8292682926829268
1,4,relu,25,0.01,256,0.8195121951219512
1,4,relu,25,0.01,512,0.7951219512195122
1,4,relu,25,0.001,16,0.8292682926829268
1,4,relu,25,0.001,32,0.8146341463414634
1,4,relu,25,0.001,64,0.8195121951219512
1,4,relu,25,0.001,128,0.7853658536585366
1,4,relu,25,0.001,256,0.7024390243902439
1,4,relu,25,0.001,512,0.5902439024390244
1,4,relu,25,0.0001,16,0.751219512195122
1,4,relu,25,0.0001,32,0.6780487804878049
1,4,relu,25,0.0001,64,0.5024390243902439
1,4,relu,25,0.0001,128,0.7268292682926829
1,4,relu,25,0.0001,256,0.3951219512195122
1,4,relu,25,0.0001,512,0.3170731707317073
1,4,relu,50,10.0,16,0.6634146341463415
1,4,relu,50,10.0,32,0.6829268292682927
1,4,relu,50,10.0,64,0.5073170731707317
1,4,relu,50,10.0,128,0.5121951219512195
1,4,relu,50,10.0,256,0.4975609756097561
1,4,relu,50,10.0,512,0.6878048780487804
1,4,relu,50,1.0,16,0.6487804878048781
1,4,relu,50,1.0,32,0.5317073170731708
1,4,relu,50,1.0,64,0.7268292682926829
1,4,relu,50,1.0,128,0.8
1,4,relu,50,1.0,256,0.8292682926829268
1,4,relu,50,1.0,512,0.8439024390243902
1,4,relu,50,0.1,16,0.8829268292682927
1,4,relu,50,0.1,32,0.8780487804878049
1,4,relu,50,0.1,64,0.8829268292682927
1,4,relu,50,0.1,128,0.8634146341463415
1,4,relu,50,0.1,256,0.824390243902439
