Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[4],Sigmoid,25,0.01,16,0.016348353
[4],Sigmoid,25,0.01,32,0.01855633
[4],Sigmoid,25,0.01,64,0.020176405
[4],Sigmoid,25,0.01,128,0.019152323
[4],Sigmoid,25,0.01,256,0.018453615
[4],Sigmoid,25,0.01,512,0.031400748
[4],Sigmoid,25,0.001,16,0.021631872
[4],Sigmoid,25,0.001,32,0.024450192
[4],Sigmoid,25,0.001,64,0.02045949
[4],Sigmoid,25,0.001,128,0.028603226
[4],Sigmoid,25,0.001,256,0.060207002
[4],Sigmoid,25,0.001,512,0.08899417
[4],Sigmoid,25,0.0001,16,0.038659707
[4],Sigmoid,25,0.0001,32,0.03278687
[4],Sigmoid,25,0.0001,64,0.035452504
[4],Sigmoid,25,0.0001,128,0.056295063
[4],Sigmoid,25,0.0001,256,0.08687574
[4],Sigmoid,25,0.0001,512,0.2199249
[4],Sigmoid,50,0.1,16,0.01544392
[4],Sigmoid,50,0.1,32,0.01653853
[4],Sigmoid,50,0.1,64,0.016190369
[4],Sigmoid,50,0.1,128,0.015845722
[4],Sigmoid,50,0.1,256,0.015908234
[4],Sigmoid,50,0.1,512,0.015911339
[4],Sigmoid,50,0.01,16,0.015911734
[4],Sigmoid,50,0.01,32,0.016552165
[4],Sigmoid,50,0.01,64,0.016686976
[4],Sigmoid,50,0.01,128,0.019935356
[4],Sigmoid,50,0.01,256,0.020297062
[4],Sigmoid,50,0.01,512,0.022465687
[4],Sigmoid,50,0.001,16,0.02058282
[4],Sigmoid,50,0.001,32,0.022902431
[4],Sigmoid,50,0.001,64,0.026968881
[4],Sigmoid,50,0.001,128,0.020073619
[4],Sigmoid,50,0.001,256,0.030619219
[4],Sigmoid,50,0.001,512,0.07319345
[4],Sigmoid,50,0.0001,16,0.022495313
[4],Sigmoid,50,0.0001,32,0.035241753
[4],Sigmoid,50,0.0001,64,0.0325973
[4],Sigmoid,50,0.0001,128,0.24820407
[4],Sigmoid,50,0.0001,256,0.024888853
[4],Sigmoid,50,0.0001,512,0.16189377
[4],Sigmoid,100,0.1,16,0.016486425
[4],Sigmoid,100,0.1,32,0.01664321
[4],Sigmoid,100,0.1,64,0.015839545
[4],Sigmoid,100,0.1,128,0.016035125
[4],Sigmoid,100,0.1,256,0.015787845
[4],Sigmoid,100,0.1,512,0.01618308
[4],Sigmoid,100,0.01,16,0.016001062
[4],Sigmoid,100,0.01,32,0.015604801
[4],Sigmoid,100,0.01,64,0.016291907
[4],Sigmoid,100,0.01,128,0.018768474
[4],Sigmoid,100,0.01,256,0.019143073
[4],Sigmoid,100,0.01,512,0.020127425
[4],Sigmoid,100,0.001,16,0.02030957
[4],Sigmoid,100,0.001,32,0.017241867
[4],Sigmoid,100,0.001,64,0.021716518
[4],Sigmoid,100,0.001,128,0.023179626
[4],Sigmoid,100,0.001,256,0.02057676
[4],Sigmoid,100,0.001,512,0.021251932
[4],Sigmoid,100,0.0001,16,0.028564451
[4],Sigmoid,100,0.0001,32,0.026513634
[4],Sigmoid,100,0.0001,64,0.024931485
[4],Sigmoid,100,0.0001,128,0.035176776
[4],Sigmoid,100,0.0001,256,0.15107067
[4],Sigmoid,100,0.0001,512,0.025073016
[4],Sigmoid,250,0.1,16,0.014800525
[4],Sigmoid,250,0.1,32,0.014892771
[4],Sigmoid,250,0.1,64,0.015874207
[4],Sigmoid,250,0.1,128,0.015748976
[4],Sigmoid,250,0.1,256,0.015764685
[4],Sigmoid,250,0.1,512,0.015810024
[4],Sigmoid,250,0.01,16,0.015629072
[4],Sigmoid,250,0.01,32,0.015716728
[4],Sigmoid,250,0.01,64,0.015827337
[4],Sigmoid,250,0.01,128,0.016407523
[4],Sigmoid,250,0.01,256,0.016425036
[4],Sigmoid,250,0.01,512,0.020753628
[4],Sigmoid,250,0.001,16,0.01618644
[4],Sigmoid,250,0.001,32,0.016542492
[4],Sigmoid,250,0.001,64,0.019069722
[4],Sigmoid,250,0.001,128,0.020322278
[4],Sigmoid,250,0.001,256,0.022697765
[4],Sigmoid,250,0.001,512,0.020684596
[4],Sigmoid,250,0.0001,16,0.02300833
[4],Sigmoid,250,0.0001,32,0.019781578
[4],Sigmoid,250,0.0001,64,0.023628403
[4],Sigmoid,250,0.0001,128,0.04056233
[4],Sigmoid,250,0.0001,256,0.02933952
[4],Sigmoid,250,0.0001,512,0.043068733
[4],ReLU,1,0.1,16,0.016515205
[4],ReLU,1,0.1,32,0.01906362
[4],ReLU,1,0.1,64,0.026410442
[4],ReLU,1,0.1,128,0.024213113
[4],ReLU,1,0.1,256,0.025641285
[4],ReLU,1,0.1,512,0.035685405
[4],ReLU,1,0.01,16,0.028386755
[4],ReLU,1,0.01,32,0.030634547
[4],ReLU,1,0.01,64,0.057257425
[4],ReLU,1,0.01,128,0.06380448
[4],ReLU,1,0.01,256,0.10427544
[4],ReLU,1,0.01,512,0.3561238
[4],ReLU,1,0.001,16,0.036756415
[4],ReLU,1,0.001,32,0.21891738
[4],ReLU,1,0.001,64,0.30194765
[4],ReLU,1,0.001,128,0.2628705
[4],ReLU,1,0.001,256,0.04882681
[4],ReLU,1,0.001,512,0.74536085
[4],ReLU,1,0.0001,16,0.56373996
[4],ReLU,1,0.0001,32,0.07758064
[4],ReLU,1,0.0001,64,0.37286788
[4],ReLU,1,0.0001,128,0.7684053
[4],ReLU,1,0.0001,256,0.1290889
[4],ReLU,1,0.0001,512,0.18414067
[4],ReLU,10,0.1,16,0.015803818
[4],ReLU,10,0.1,32,0.016156638
[4],ReLU,10,0.1,64,0.015531297
[4],ReLU,10,0.1,128,0.017173588
[4],ReLU,10,0.1,256,0.018019486
[4],ReLU,10,0.1,512,0.020395568
[4],ReLU,10,0.01,16,0.016005406
[4],ReLU,10,0.01,32,0.019339044
[4],ReLU,10,0.01,64,0.019426014
[4],ReLU,10,0.01,128,0.022052715
[4],ReLU,10,0.01,256,0.023510495
[4],ReLU,10,0.01,512,0.033713914
[4],ReLU,10,0.001,16,0.032579605
